"","N","model","IC","true","estimate","se","msg","const.l","const.u","CL","CU"
"steplength",1,"null",-41.2076823449383,0.75,0.774538964123765,0.043158318710239,"relative convergence (4)",0,Inf,0.688222326703287,0.860855601544243
"angularconcentration",1,"null",-41.2076823449383,0.75,0.663067715421252,0.0854728866188216,"relative convergence (4)",0,Inf,0.492121942183609,0.834013488658896
"logit_lambda",1,"null",-41.2076823449383,1.73460105538811,1.77876063234815,0.173062544501868,"relative convergence (4)",-10,Inf,1.43263554334442,2.12488572135189
"logit_gamma",1,"null",-41.2076823449383,2.19722457733622,1.98505791460387,0.174321124314252,"relative convergence (4)",-10,Inf,1.63641566597537,2.33370016323237
"1",1,"resource",-24.1142873921991,0.75,0.774482679560352,0.0431538560545903,"relative convergence (4)",0,Inf,0.688174967451171,0.860790391669532
"2",1,"resource",-24.1142873921991,0.75,0.66306312864717,0.085469030644873,"relative convergence (4)",0,Inf,0.492125067357424,0.834001189936916
"3",1,"resource",-24.1142873921991,0,-1.12534536220905,1.40451629478909,"relative convergence (4)",-Inf,Inf,-3.93437795178724,1.68368722736914
"4",1,"resource",-24.1142873921991,0,1.49023354511579,1.31578094615143,"relative convergence (4)",-Inf,Inf,-1.14132834718707,4.12179543741865
"5",1,"resource",-24.1142873921991,0,0.182554800038492,1.36123846342404,"relative convergence (4)",-Inf,Inf,-2.5399221268096,2.90503172688658
"6",1,"resource",-24.1142873921991,1.73460105538811,1.7789183325412,0.0213874299486073,"relative convergence (4)",-10,10,1.73614347264398,1.82169319243841
"7",1,"resource",-24.1142873921991,2.19722457733622,1.98468382351511,0.0185158138336432,"relative convergence (4)",-10,10,1.94765219584782,2.02171545118239
"11",1,"memory (1-peak)",-72.7628475757952,0.75,0.774473816651201,0.0431495960253369,"relative convergence (4)",0,Inf,0.688174624600527,0.860773008701875
"21",1,"memory (1-peak)",-72.7628475757952,0.75,0.662800921391319,0.0854491408493097,"relative convergence (4)",0,Inf,0.491902639692699,0.833699203089938
"31",1,"memory (1-peak)",-72.7628475757952,50,161.230999569083,1032.71861135699,"relative convergence (4)",0,1000,-1904.2062231449,2226.66822228307
"41",1,"memory (1-peak)",-72.7628475757952,550,535.356332663777,5.04587577448186,"relative convergence (4)",5,600,525.264581114813,545.44808421274
"51",1,"memory (1-peak)",-72.7628475757952,25,20,8.51136348847144,"relative convergence (4)",20,Inf,2.97727302305712,37.0227269769429
"61",1,"memory (1-peak)",-72.7628475757952,1.73460105538811,1.77995524214484,0.0213750172635047,"relative convergence (4)",-10,Inf,1.73720520761783,1.82270527667185
"71",1,"memory (1-peak)",-72.7628475757952,2.19722457733622,1.98565435254253,0.0185022614734162,"relative convergence (4)",-10,Inf,1.9486498295957,2.02265887548937
"8",1,"memory (1-peak)",-72.7628475757952,-4.0943445622221,-4.5528278184396,6.76936273081087,"relative convergence (4)",-Inf,0.864273929905693,-18.0915532800613,8.98589764318214
"13",1,"combination (1-peak)",-47.7394718064989,0.75,0.77445949985063,0.0431488227447751,"relative convergence (4)",0,Inf,0.68816185436108,0.860757145340181
"22",1,"combination (1-peak)",-47.7394718064989,0.75,0.662839057833813,0.0854499239746179,"relative convergence (4)",0,Inf,0.491939209884578,0.833738905783049
"32",1,"combination (1-peak)",-47.7394718064989,1,0.0520247307994261,0.280987937475007,"relative convergence (4)",-Inf,Inf,-0.509951144150588,0.61400060574944
"42",1,"combination (1-peak)",-47.7394718064989,0,-0.332582531047396,1.11040121709245,"relative convergence (4)",-Inf,Inf,-2.55338496523229,1.8882199031375
"52",1,"combination (1-peak)",-47.7394718064989,0,0.343610158576726,1.19176757139464,"relative convergence (4)",-Inf,Inf,-2.03992498421256,2.72714530136601
"62",1,"combination (1-peak)",-47.7394718064989,0,-0.056023678361141,1.20059547215002,"relative convergence (4)",-Inf,Inf,-2.45721462266118,2.34516726593889
"72",1,"combination (1-peak)",-47.7394718064989,50,1000,5423.98539590403,"relative convergence (4)",0,1000,-9847.97079180805,11847.9707918081
"81",1,"combination (1-peak)",-47.7394718064989,550,535.097732216853,4.26099835814525,"relative convergence (4)",1,600,526.575735500563,543.619728933144
"9",1,"combination (1-peak)",-47.7394718064989,25,20,NA,"relative convergence (4)",20,600,NA,NA
"10",1,"combination (1-peak)",-47.7394718064989,1.73460105538811,1.77997012161135,0.173109336102778,"relative convergence (4)",-10,Inf,1.43375144940579,2.1261887938169
"111",1,"combination (1-peak)",-47.7394718064989,2.19722457733622,1.98553990115871,0.174308972863258,"relative convergence (4)",-10,Inf,1.6369219554322,2.33415784688523
"12",1,"combination (1-peak)",-47.7394718064989,-4.0943445622221,-2.76529832059861,1.0923427419586,"relative convergence (4)",-Inf,0.864273929905693,-4.94998380451582,-0.580612836681397
